date,Algeria,Libya,Iran,Azerbaijan,Norway,Russia
2018-01-01,4239.1629361775285,358.0,951.9612903225806,732.5205483870966,12728.536283787998,17217.66268064516
2018-02-01,4338.118068677901,432.80101117326547,863.5892857142856,715.102357142857,12566.071914592001,14187.217503571426
2018-03-01,4224.96445392957,559.7564653634074,841.5064516129031,704.5538387096774,12152.898630435999,19583.904806451614
2018-04-01,3104.056450047212,16.088201215703894,938.9799999999999,416.9636,11623.007100948,19482.22885
2018-05-01,2663.250105943764,249.22663126372493,569.3548387096774,750.9562580645162,10715.367704856,16005.757883870969
2018-06-01,2912.14174266014,459.2571653404586,456.5466666666667,710.8125666666667,10434.578751436,16166.156263333336
2018-07-01,2634.5261901418817,440.810459733902,695.7516129032258,783.4436451612902,11873.76,15952.428693548385
2018-08-01,2356.2597229109224,451.64099530457554,554.5516129032258,797.8710967741936,11286.896,17495.42243870968
2018-09-01,2576.07339465765,599.0355375466804,581.2733333333332,952.8528999999999,10502.136,18153.581563333333
2018-10-01,3160.9447557544845,604.2402166671626,669.5612903225806,937.7160322580644,11706.572,16965.91332903226
2018-11-01,3281.8346843899526,518.2265667588847,987.2233333333332,941.9687333333333,11812.344,17727.665883333335
2018-12-01,3365.566384936168,474.239484907717,1020.2838709677418,1020.2155483870968,11993.18,18801.810532258063
2019-01-01,3617.21377406754,484.49568699235164,938.2967741935483,987.4548709677417,12832.532,18622.658477419354
2019-02-01,2652.8046001506564,496.34547749605633,863.5892857142856,893.3799642857142,12566.395999999999,17848.408692857138
2019-03-01,1262.277348445906,545.1909818680249,948.5451612903225,880.2225806451612,12365.088,18119.713187096775
2019-04-01,1774.299300640325,584.65574169981,754.2433333333333,950.5701666666666,11617.86,18834.955106666665
2019-05-01,1894.9383246893071,629.0404873645808,618.3193548387096,989.7322903225805,10792.155999999999,18065.881825806453
2019-06-01,1654.5023079916336,531.8901857276121,267.1033333333333,862.8025999999999,10706.856,16538.98898
2019-07-01,1706.8044587467361,528.28,690.058064516129,1094.8693548387096,10638.616,13701.985370967743
2019-08-01,1508.762637053716,596.1670742137616,183.3322580645161,906.4129032258064,8884.848,14858.183351612903
2019-09-01,1581.51,522.18,763.0,1018.5814999999999,6370.204,16047.467073333331
2019-10-01,2044.9711720271448,576.3805735404698,975.0,1139.199322580645,10222.351999999999,15244.561209677418
2019-11-01,2299.1591697157783,575.4363865588422,987.2703999999999,1053.8815,11488.204,18081.52955666667
2019-12-01,2911.960605838426,523.7576650479283,1020.7621290322579,1169.3409677419354,12010.24,19924.09773870968
2020-01-01,2257.3520119290233,424.69188781812034,801.8224193548386,1182.0717419354837,11689.512,13662.307032258062
2020-02-01,1580.2573000000002,410.39,933.928448275862,1064.4593275862069,11767.988,13722.602337931032
2020-03-01,1580.2573000000002,410.39,933.928448275862,1106.9146258064516,12058.008,13523.615609677418
2020-04-01,1071.0728428521434,635.3159147005274,0.0,1082.6415866666669,10454.368,13738.748233333332
2020-05-01,1108.9216,452.06137543609145,0.0,1009.9352774193547,9226.048,13198.856748387097
2020-06-01,1211.8363,383.54,0.0,1116.131873333333,10109.756,13411.841993333335
2020-07-01,1781.745275033199,452.9958244372897,756.5131612903226,1318.5438193548384,10519.196,11202.04848064516
2020-08-01,1963.1407875258292,285.97081605496794,462.7943870967742,1184.899158064516,9727.612,13628.515822580644
2020-09-01,2295.8593048166276,452.17867221709895,762.7,958.55738,9952.804,15151.45188
2020-10-01,3172.3192018080567,493.7131759393632,110.68258064516128,1319.6791129032258,10512.372,17927.551374193547
2020-11-01,3318.0244620241783,407.95093802799505,929.9431999999999,1331.1029899999999,11709.984,18684.725366666666
2020-12-01,3648.8694781209465,308.9820852370786,932.1932903225805,1333.3162999999997,12259.315999999999,19657.51897096774
2021-01-01,3367.636072174511,314.15211322991786,813.0387096774192,1814.4541612903224,12116.012,17316.831767741933
2021-02-01,3910.9587454372268,364.96085953411233,1019.5396428571429,1727.9753428571428,11754.34,16918.63947142857
2021-03-01,3947.2189336536935,370.1699066879935,968.1195806451612,1717.0307161290318,11628.096,17169.69453548387
2021-04-01,3595.884981952031,285.0080486823832,1020.1229333333333,1642.673733333333,11225.48,14953.889546666669
2021-05-01,3720.1189677419325,367.45022580645156,980.0874193548386,1219.695848387097,10266.708,16760.87157096774
2021-06-01,3487.6399999999994,221.2133333333333,1020.17,1534.8275266666667,9608.192,17118.516140000003
2021-07-01,3228.2051259551145,322.06681448092746,721.0309677419355,1611.1899290322579,11409.728,14345.375696774196
2021-08-01,2780.627971511669,330.1100826809029,1022.7890322580645,1571.6436806451613,11147.003999999999,14940.267238709674
2021-09-01,2905.16375536134,275.17979437516254,1045.2800666666667,1506.4369133333335,10904.752,15056.112463333333
2021-10-01,3455.703836729923,320.7552803874233,449.7903225806451,1636.510277419355,12477.684,13026.050722580645
2021-11-01,3112.6093245610964,342.46892108738655,936.862,1746.5651633333332,12610.752,13417.810046666666
2021-12-01,3049.2966998707116,236.72664094991612,973.6650967741933,1864.2169129032259,12853.003999999999,13989.497038709675
2022-01-01,3157.81913326026,257.926401740323,738.7948387096773,1838.7678903225808,12419.68,10870.005293548385
2022-02-01,3234.9928571428572,139.98971428571429,585.0690322580643,1945.7889499999999,12617.576,11944.972849999998
2022-03-01,3181.1961451612897,184.47096774193545,830.1193548387096,1970.4949645161291,12249.08,14211.783416129032
2022-04-01,3180.55118,298.8733333333333,984.87,1985.3720166666665,11955.648,11746.532723333334
2022-05-01,3042.232570967742,272.1516129032258,981.5677419354838,1884.8833548387095,11713.396,10439.16765483871
