,RF_Algeria,RF_Azerbaijan,RF_Iran,RF_Libya,RF_Norway,RF_Russia,SARIMAX_Algeria,SARIMAX_Azerbaijan,SARIMAX_Iran,SARIMAX_Libya,SARIMAX_Norway,SARIMAX_Russia,XGB_Algeria,XGB_Azerbaijan,XGB_Iran,XGB_Libya,XGB_Norway,XGB_Russia
2026-10-01,3032.259350060501,2314.842736230496,603.7837384092253,87.9391782442912,10178.849000000026,3144.0735932324114,3108.7264810728666,2454.9058260477204,609.9841481135948,27.547317710414486,12251.820192065432,1384.4919419634623,3134.9778,2316.5142,872.438,62.148415,9930.859,2982.5095
2026-11-01,3042.10202877141,2302.828462089355,584.8323858648007,82.84801622203004,10875.84553600004,3555.316677169345,3236.7000991858636,2448.1240170226556,935.4335775266334,59.94576164961592,12852.886912805357,2382.4921568262193,2999.7761,2315.991,904.596,108.561264,11367.21,3798.7454
2026-12-01,3068.9836897929613,2315.1635739070553,610.7058188916749,83.08784714116572,11313.311704000027,3628.4915965560726,3348.664604826917,2530.8852166629495,836.9578154794657,-15.348684415827599,13106.840785583163,2750.255970071569,3027.248,2398.1338,854.5541,118.645325,12185.721,4512.594
2027-01-01,2994.5919839668536,2307.0846822496496,560.8777733705838,85.51238707402078,11739.627456000033,3437.391749039846,2942.852369915496,2300.7150557873647,590.3227823267033,-53.45092653012866,13006.599410344455,1836.1209246815797,2947.4163,2091.8875,863.4185,86.12862,12036.0625,4610.831
2027-02-01,3019.024167579847,2303.915556298242,563.6759783273435,84.48267927044193,11848.784159999977,2828.539165159842,2971.6244453656705,2418.4865642870377,437.5934302765731,-67.31410737898024,12837.59129674366,1988.6919816643247,3025.5015,2113.187,871.7819,44.199013,12065.317,4265.5654
2027-03-01,3044.4472091927905,2312.3460846694206,634.0786115830497,96.81894442611369,11958.459488000002,2444.040172913074,3136.5121083320482,2569.6673194584896,701.4795349233632,-2.9184321095179264,12839.165926896709,1348.593430883038,2976.008,2329.1208,1014.776,93.001816,12018.4795,3050.5977
2027-04-01,3074.3902144096232,2298.201735971157,634.6537262249469,85.5907301485036,11786.97236799998,2092.5178550780474,3180.351295580423,2518.3355157502733,823.6515239186017,17.27038379555529,12290.160013331393,883.1792491223647,3204.5344,2254.0295,987.3781,100.6686,11393.067,2191.2043
2027-05-01,3049.335592754598,2298.086924761673,675.8876938015214,87.41625942545541,11382.37058399999,1920.344638283642,2834.37412082277,2500.051566769579,815.5525407846635,-16.737504873021734,11198.280848945484,459.76364566806024,3073.6907,2243.8445,1012.0862,99.38362,10911.061,1962.4406
2027-06-01,3046.3052539771647,2326.2036355733057,644.9241964150845,81.15628925400493,11033.479936000023,1971.4872079974955,2857.8282058026775,2550.7733565253047,711.7278157267134,-84.85914672489194,11095.199265863284,-157.17215455700443,3118.7961,2386.5713,996.8309,72.42996,10407.55,2023.6732
2027-07-01,3030.790037115509,2311.952130368562,601.5503606885727,84.74503992909689,10480.995248000003,2491.0041767886105,2908.7255341478335,2534.192142820035,691.8701527416109,-81.74653181270904,12234.182256348664,116.81174152830222,3017.0251,2239.369,962.04456,69.551506,10581.425,1934.3557
2027-08-01,3049.0704368799506,2220.430064506234,563.7153162510306,88.1289601628234,10184.956480000015,2912.228724203149,2807.0425312261377,2207.4854705338366,589.8298793903859,-92.94516393096691,11836.058418578206,930.5698845514881,2940.86,1870.8662,968.0111,99.05061,10556.228,2675.445
2027-09-01,3017.7288903449617,2278.2899516308366,596.335911374686,83.63739266027652,9010.505135999987,3059.1027403312273,2691.902269669839,2555.904992674439,625.0713111794586,-77.94334563621032,9466.779867353296,413.1678984681122,3054.0662,2261.524,946.9236,112.14271,8826.961,2789.3127
2027-10-01,3049.0294008558417,2301.232165740406,602.1600760954918,85.71465267215277,10216.93374400002,3084.477717186078,3233.4191842303303,2575.220480803271,605.7541452618389,-33.147430664118694,12471.340168011659,338.0574978362443,2996.6848,2279.8628,948.8868,90.60749,11047.834,2991.6714
2027-11-01,3044.7946438021795,2303.077933944018,611.1399913084643,86.39082779224631,10679.041376000037,3494.5823164925846,3235.4001244476453,2568.4386717782063,931.2077465375753,-2.6022955115587076,13072.406888751584,1293.0851073425365,3103.2744,2330.2522,999.4129,76.186165,11352.586,3358.4753
2027-12-01,3089.6468855041107,2320.147500920835,582.5488898288869,84.58441798319555,11132.72136800004,3560.536463589489,3191.6068497022984,2651.1998714185,832.7340479688529,-79.40861717224526,13326.36076152939,1678.1770333939742,3085.3367,2397.0444,1006.7573,60.52218,12159.857,3905.9885
