Country,Year,Power,Industry,R&C,Transport,Others,Total Domestic Demand,Pipeline Exports,LNG Supply,Marketed Production,Pipeline Imports,LNG Demand,LNG Demand Converted,Region
Norway,2032,22.02093033787244,66.03784050694834,1.5689796493819568,12.955320671572998,375.51476701422365,478.09783817999937,10539.628651282554,627.0958904109589,11017.726489462553,0.0,26.612021857923498,0.2,Europe
Norway,2033,23.225502724321135,66.03784050694834,1.597221283070832,13.188516443661312,373.6921111339481,477.74119209194976,10516.539046698323,627.0958904109589,10994.280238790272,0.0,26.684931506849313,0.2,Europe
Norway,2034,24.49596672442701,66.03784050694834,1.6259712661661072,13.425909739647215,372.5312591482369,478.1169473854256,10512.01230894264,627.0958904109589,10990.129256328066,0.0,26.684931506849313,0.2,Europe
Norway,2035,25.835926691734258,66.03784050694834,1.6552387489570972,13.667576114960866,370.99497041694855,478.1915524795491,10496.879421148631,627.0958904109589,10975.07097362818,0.0,26.684931506849313,0.2,Europe
Norway,2036,24.66929516248583,66.03784050694834,1.6784120914424967,13.817919452225434,369.7014388196299,475.904906032732,10488.574279491622,589.7369863013698,10964.479185524355,0.0,26.612021857923498,0.2,Europe
Norway,2037,23.55534334321165,66.03784050694834,1.7019098607226917,13.969916566199911,368.4972142583291,473.7622245354117,10482.780348887136,581.7315068493151,10956.542573422548,0.0,26.684931506849313,0.2,Europe
Norway,2038,22.491692460688643,66.03784050694834,1.7257365987728095,14.12358564842811,367.52597847008315,471.9048336849211,10483.59861535445,573.7260273972603,10955.503449039372,0.0,26.684931506849313,0.2,Europe
Norway,2039,21.47607115614324,66.03784050694834,1.7498969111556288,14.278945090560818,366.0416179686312,469.5843716334392,10469.782337377335,565.7205479452055,10939.366709010774,0.0,26.684931506849313,0.2,Europe
Norway,2040,20.506310634909248,66.03784050694834,1.774395467911808,14.436013486556988,363.79966227207336,466.55422236839973,10434.25903844814,557.7150684931507,10900.81326081654,0.0,26.612021857923498,0.2,Europe
Norway,2041,19.672515848738925,65.90576482593444,1.7956882135267496,14.565937607935998,361.6498347275338,463.5897412236699,10408.850721973706,551.0438356164384,10872.440463197376,0.0,26.684931506849313,0.2,Europe
Norway,2042,18.872623491816956,65.77395329628257,1.8172364720890706,14.697031046407421,359.51271131373034,460.67355562032634,10305.176605634324,543.0383561643837,10765.85016125465,0.0,26.684931506849313,0.2,Europe
Norway,2043,18.105255077820324,65.64240538969001,1.8390433097541394,14.829304325825087,357.3882169572283,457.8042250603179,10189.292601087405,535.0328767123287,10647.096826147723,0.0,26.684931506849313,0.2,Europe
Norway,2044,17.369088170230846,65.51112057891064,1.861111829471189,14.96276806475751,355.27627702822986,454.9803656716,10052.9369145559,528.3616438356164,10507.917280227499,0.0,26.612021857923498,0.2,Europe
Norway,2045,16.662854103327707,65.38009833775281,1.8834451714248432,15.097432977340329,353.17681733795234,452.20064792779806,9817.445475669832,519.0219178082192,10269.646123597631,0.0,26.684931506849313,0.2,Europe
Norway,2046,16.08071664402316,65.1185779444018,1.9022796231390917,15.20311500818171,350.38341050134653,448.68809972109227,9605.466729079268,511.0164383561644,10054.15482880036,0.0,26.684931506849313,0.2,Europe
Norway,2047,15.518916878334851,64.85810363262419,1.9213024193704826,15.30953681323898,347.6120977586102,445.2199575021787,9382.786007054816,503.0109589041096,9828.005964556995,0.0,26.684931506849313,0.2,Europe
Norway,2048,14.976744283730659,64.5986712180937,1.9405154435641874,15.41670357093165,344.86270435933557,441.7953388756557,9135.858075544149,496.33972602739726,9577.653414419805,0.0,26.612021857923498,0.2,Europe
Norway,2049,14.45351316066371,64.34027653322133,1.9599205979998293,15.52462049592817,342.1350569352808,438.4133877230938,8914.507544201853,488.3342465753425,9352.920931924948,0.0,26.684931506849313,0.2,Europe
Norway,2050,13.948561765350632,64.08291542708844,1.9795198039798274,15.633292839399667,339.4289834894378,435.0732733252564,8698.23739506839,480.32876712328766,9133.310668393648,0.0,26.684931506849313,0.2,Europe
Argentina,2010,1337.318656319772,784.4337031267777,1111.1672378772098,255.50515224985708,491.69785679818085,3980.1226063717972,45.23525131988954,0.0,3681.081132733019,173.54119619154406,170.73552876712327,1.2796399999999999,LATAM
Argentina,2011,1463.7746806552768,850.2970437400827,1161.514181884137,264.79959055641467,647.9338983075402,4388.319395143451,19.530242759075964,0.0,3752.3458395370517,229.57813480383214,425.92566356164383,3.192256,LATAM
Argentina,2012,1581.7137009947407,779.4462012241673,1223.3239352937271,267.0921524369472,641.3550112142138,4492.931001163796,10.382349578142888,5.3224043715847005,3637.730492605534,352.3406103221972,518.5646521857925,3.8972210000000005,LATAM
Argentina,2013,1597.1704860245932,849.0551358958072,1274.8208859644535,264.6058529327077,508.33741220946536,4493.989773027027,7.819051787558328,0.0,3408.4058367418916,451.4490612233784,641.953926849315,4.8113589999999995,LATAM
Argentina,2014,1580.3500861817263,868.1233889368127,1234.90596784944,273.56745993699946,643.9940382547818,4600.94094115976,6.092799884015432,0.0,3386.9771509067887,570.9,649.1565901369864,4.73204495890411,LATAM
Argentina,2015,1604.4654527018672,904.0890401070302,1250.8396454914941,285.25132893594304,669.9514973122886,4714.596964548623,8.487198207778528,0.0,3530.994578646812,576.35,615.739584109589,4.614885999999999,LATAM
Argentina,2016,1714.9530259756782,844.1595351736734,1274.8978842507986,271.08364424844854,609.1704681876159,4714.264557836215,5.824547789651931,0.0,3707.138133494719,555.06,457.89097213114746,3.4412339999999997,LATAM
Argentina,2017,1917.1828155218066,808.6111650391324,1187.4849587236256,244.77010084393996,653.4720666273636,4811.521106755868,7.4762852225383,0.0,3717.2705037592277,637.0,464.72688821917825,3.483066000000001,LATAM
Argentina,2018,1914.3115245858417,850.1033061163757,1179.7155832498383,230.22239235609717,679.6375293179228,4853.990335626076,26.080000000000002,0.0,3941.0915079548427,577.0,361.978827671233,2.712983000000001,LATAM
Argentina,2019,1728.1619578073921,893.6644656621819,1118.8149063822582,236.11648698502853,682.229655174284,4658.987472011145,66.82577313,17.878904109589044,4088.6975925616925,492.8874671,162.1070895890411,1.2149709999999998,LATAM
Argentina,2020,1549.7842503184186,872.2738449523813,1109.2273778244514,179.14769035242438,613.7011803271638,4324.134343774839,116.17573355191256,16.36639344262295,3779.8047668950576,522.9584142568306,153.91328961748636,1.15672,LATAM
Argentina,2021,1727.2181078457427,674.5074721985792,1041.7098159625716,224.703353896137,600.3953796835965,4268.5341295866265,84.73883956164383,0.0,3571.7309037893656,450.7583228931506,330.78374246575345,2.47918,LATAM
Argentina,2022,1520.832894652669,868.4239306351274,1202.7331032356399,227.86773508335088,644.8358099831497,4464.693473589937,187.10718316958904,0.0,4052.2528387293883,370.9094569342465,228.63836109589045,1.7136140000000002,LATAM
Argentina,2023,1558.8537170189857,883.4476646351152,1220.7740997841743,235.61523807618482,647.4151532230824,4546.105872737542,157.1448963630137,0.0,4251.128878815624,221.11844370958903,231.00344657534248,1.7313399999999999,LATAM
Argentina,2024,1414.0,903.7313092333028,1239.0857112809367,243.62615617077512,650.0048138359747,4450.447990520989,147.19128767759562,0.0,4358.894153005464,122.74398333333333,115.50841639344262,0.8680919999999999,LATAM
Argentina,2025,1449.35,919.365860883039,1257.6719969501507,251.90944548058147,652.6048330913186,4530.90213640509,153.0,0.0,4491.790197543593,100.49427391029126,92.06301369863014,0.69,LATAM
Argentina,2026,1479.9312849999997,930.3982512136355,1272.7640609135526,255.43617771730962,653.9100427575013,4592.439817601999,152.0,0.0,4613.647623780783,82.27775255859774,48.966849315068494,0.367,LATAM
Argentina,2027,1511.1578351134995,941.5630302281992,1288.0372296445153,259.01228420535193,655.2178628430163,4654.988242034582,154.0,132.5065336331015,4881.004239299952,60.95285825215104,0.0,0.0,LATAM
Argentina,2028,1543.0432654343942,952.8617865909375,1303.4936764002496,262.63845618422687,656.5282985687023,4718.5654831785105,154.0,280.91461354850355,5108.768753078485,45.1549879958235,0.0,0.0,LATAM
Argentina,2029,1575.6014783350597,964.2961280300287,1319.1356005170526,266.31539457080606,657.8413551658398,4783.189956618787,154.0,352.18476731799785,5204.821273288066,85.0,0.0,0.0,LATAM
Argentina,2030,1608.8466695279294,975.8676815663891,1334.9652277232572,270.0438100947974,659.1570378761714,4848.880426788545,154.0,612.8220267270526,5616.134905061381,0.0,0.0,0.0,LATAM
Argentina,2031,1636.8406015777155,985.626358382053,1348.3148800004897,273.2843358159349,660.4753519519238,4904.541527728116,154.0,640.9996456494302,5699.959713766038,0.0,0.0,0.0,LATAM
Argentina,2032,1665.321628045168,995.4826219658736,1361.7980288004946,276.56374784572614,661.7963026558276,4960.96232931309,154.0,670.472874346762,5785.848207349084,0.0,0.0,0.0,LATAM
Argentina,2033,1694.298224373154,1005.4374481855324,1375.4160090884995,279.8825128198749,663.1198952611393,5018.1540897282,154.0,701.3012850878607,5873.855310424845,0.0,0.0,0.0,LATAM
Argentina,2034,1723.779013477247,1015.4918226673877,1389.1701691793846,283.2411029737134,664.4461350516616,5076.128243349393,154.0,733.5471892804998,5964.062779098274,0.0,0.0,0.0,LATAM
Argentina,2035,1753.7727683117512,1025.6467408940616,1403.0618708711786,286.63999620939796,665.7750273217649,5134.896403608155,154.0,767.2757634172992,6056.554828909433,0.0,0.0,0.0,LATAM
Argentina,2036,1780.0793598364273,1033.8519148212142,1414.286365838148,289.50639617149193,667.1065773764085,5184.830614043691,154.0,802.5551808126182,6141.76363352862,0.0,0.0,0.0,LATAM
Argentina,2037,1806.7805502339736,1042.122730139784,1425.600656764853,292.40146013320685,668.4407905311613,5235.3461878029775,154.0,839.456749396722,6229.176147808117,0.0,0.0,0.0,LATAM
Argentina,2038,1833.882258487483,1050.4597119809023,1437.005462018972,295.32547473453894,669.7776721122236,5286.45057933412,154.0,878.0550558457393,6318.874407536141,0.0,0.0,0.0,LATAM
Argentina,2039,1861.3904923647951,1058.8633896767494,1448.5015057151236,298.27872948188434,671.1172274564481,5338.151344695,154.0,918.4281163387295,6410.9439797749255,0.0,0.0,0.0,LATAM
Argentina,2040,1889.3113497502668,1067.3342967941635,1460.0895177608445,301.26151677670316,672.4594619113609,5390.45614299334,154.0,960.6575342465753,6505.474121984951,0.0,0.0,0.0,LATAM
Argentina,2041,1911.98308594727,1069.4689653877517,1465.9298758318878,301.26151677670316,672.4594619113609,5421.102905854974,150.1977264523632,960.6575342465753,6532.31102706528,0.0,0.0,0.0,LATAM
Argentina,2042,1934.9268829786372,1071.6079033185272,1471.7935953352153,301.26151677670316,672.4594619113609,5452.049360320445,146.48933137310993,960.6575342465753,6559.541853871187,0.0,0.0,0.0,LATAM
Argentina,2043,1958.1460055743808,1073.7511191251642,1477.6807697165561,301.26151677670316,672.4594619113609,5483.298873104166,142.8724968945971,960.6575342465753,6587.167635828198,0.0,0.0,0.0,LATAM
Argentina,2044,1981.6437576412734,1075.8986213634146,1483.5914927954225,301.26151677670316,672.4594619113609,5514.854850488175,139.34496237753774,960.6575342465753,6615.189503836668,0.0,0.0,0.0,LATAM
Argentina,2045,2005.4234827329688,1062.9878379070535,1465.7883948818774,283.78834880365434,672.4594619113609,5490.447526236914,135.90452299802766,960.6575342465753,6587.332976012072,0.0,0.0,0.0,LATAM
